Rank,Root Domain,Linking Root Domains,Domain Authority
1,youtube.com,17581444,100
2,apple.com,4538432,100
3,www.google.com,12031380,100
4,play.google.com,2337145,99
5,microsoft.com,4204704,99
6,support.google.com,4511052,99
7,docs.google.com,2228090,99
8,www.blogger.com,25068859,99
9,cloudflare.com,5089845,98
10,adobe.com,2896052,98
11,maps.google.com,4459443,98
12,en.wikipedia.org,5473768,98
13,wordpress.org,9727241,98
14,plus.google.com,12249488,98
15,linkedin.com,8704417,98
16,mozilla.org,1927435,97
17,youtu.be,3848497,97
18,googleusercontent.com,2152817,97
19,sites.google.com,1666680,97
20,accounts.google.com,2531393,97
21,vimeo.com,3122576,97
22,europa.eu,1670112,97
23,drive.google.com,1739999,97
24,es.wikipedia.org,775950,96
25,facebook.com,45347824,96
26,medium.com,1105434,96
27,istockphoto.com,3071860,96
28,github.com,1974706,96
29,bp.blogspot.com,15874970,96
30,vk.com,1609676,96
31,bbc.co.uk,1424146,96
32,amazon.com,4003454,96
33,cnn.com,1226845,96
34,feedburner.com,1752235,95
35,bbc.com,665605,95
36,msn.com,997900,95
37,mail.ru,481136,95
38,policies.google.com,1035692,95
39,reuters.com,733977,95
40,w3.org,1064412,95
41,myspace.com,1275648,95
42,mail.google.com,435134,95
43,google.co.uk,544357,95
44,nytimes.com,1687782,95
45,aliexpress.com,449554,95
46,developers.google.com,888771,95
47,networkadvertising.org,709369,95
48,washingtonpost.com,869607,95
49,news.google.com,684630,95
50,jimdofree.com,1652303,95
51,photos.google.com,232010,95
52,www.yahoo.com,920006,95
53,gstatic.com,584064,95
54,google.de,1095207,95
55,who.int,2267716,95
56,google.co.jp,632030,95
57,paypal.com,888324,95
58,t.me,486652,95
59,imdb.com,1239624,95
60,dropbox.com,934112,95
61,hugedomains.com,5125542,95
62,globo.com,384223,95
63,dailymotion.com,1075020,95
64,google.es,414251,95
65,forbes.com,932874,95
66,live.com,738275,95
67,pt.wikipedia.org,358558,95
68,wikimedia.org,1366845,95
69,slideshare.net,869591,95
70,fr.wikipedia.org,533742,95
71,nih.gov,1042869,95
72,google.fr,384451,95
73,line.me,573368,95
74,google.com.br,264744,95
75,theguardian.com,1198507,95
76,uol.com.br,561606,95
77,creativecommons.org,1546137,95
78,whatsapp.com,1614875,95
79,ft.com,351663,94
80,wikia.com,467558,94
81,android.com,268879,94
82,pinterest.com,7094758,94
83,lefigaro.fr,178573,94
84,wsj.com,809663,94
85,picasa.google.com,248825,94
86,dailymail.co.uk,784256,94
87,ig.com.br,133341,94
88,huffingtonpost.com,891222,94
89,get.google.com,535928,94
90,usatoday.com,635467,94
91,scribd.com,645038,94
92,nypost.com,280046,94
93,de.wikipedia.org,593553,94
94,abcnews.go.com,474419,94
95,issuu.com,826987,94
96,wired.com,538039,94
97,www.gov.uk,477035,94
98,google.it,411466,94
99,hatena.ne.jp,1457537,94
100,fandom.com,429775,94
101,cpanel.com,1199542,94
102,cdc.gov,635489,94
103,telegram.me,265009,94
104,businessinsider.com,571425,94
105,code.google.com,324526,94
106,office.com,341235,94
107,un.org,416071,94
108,independent.co.uk,520976,94
109,amazon.co.uk,631926,94
110,plesk.com,690895,94
111,foxnews.com,453501,94
112,aol.com,652602,94
113,marketingplatform.google.com,742911,94
114,bing.com,885144,94
115,news.yahoo.com,575491,94
116,archive.org,873667,94
